Gene	Comparison	Domain	GO.ID	Term	Annotated	Significant	Expected	pval	-log10(pvalue)	Fold.Enrichment	log10(FE)
Dhx35	hom_vs_het_wt	BP	GO:0014896	muscle hypertrophy	61	28	21.2	0.04663	1.33133458454551	1.32075471698113	0.120822170413468
Dhx35	hom_vs_het_wt	BP	GO:0060113	inner ear receptor cell differentiation	56	26	19.46	0.04669	1.33077612606919	1.3360739979445	0.125830512038485
Dhx35	hom_vs_het_wt	BP	GO:0006900	membrane budding	56	26	19.46	0.04669	1.33077612606919	1.3360739979445	0.125830512038485
Dhx35	hom_vs_het_wt	BP	GO:0016032	viral process	234	94	81.31	0.04692	1.32864199655651	1.15606936416185	0.0629838925351857
Dhx35	hom_vs_het_wt	BP	GO:0008544	epidermis development	210	85	72.97	0.04736	1.32458830628514	1.16486227216664	0.0662745794616253
Dhx35	hom_vs_het_wt	BP	GO:0008366	axon ensheathment	102	44	35.44	0.04793	1.31939257100821	1.24153498871332	0.0939589632711743
Dhx35	hom_vs_het_wt	BP	GO:0007272	ensheathment of neurons	102	44	35.44	0.04793	1.31939257100821	1.24153498871332	0.0939589632711743
Dhx35	hom_vs_het_wt	BP	GO:0000413	protein peptidyl-prolyl isomerization	34	17	11.81	0.04794	1.31930197030236	1.43945808636749	0.158199023764759
Dhx35	hom_vs_het_wt	BP	GO:0038179	neurotrophin signaling pathway	34	17	11.81	0.04794	1.31930197030236	1.43945808636749	0.158199023764759
Dhx35	hom_vs_het_wt	BP	GO:0045839	negative regulation of mitosis	34	17	11.81	0.04794	1.31930197030236	1.43945808636749	0.158199023764759
Dhx35	hom_vs_het_wt	BP	GO:0034728	nucleosome organization	84	37	29.19	0.04816	1.31731352175023	1.2675573826653	0.102967629078981
Dhx35	hom_vs_het_wt	BP	GO:0045647	negative regulation of erythrocyte diffe...	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0072310	glomerular epithelial cell development	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0019377	glycolipid catabolic process	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0000083	regulation of transcription involved in ...	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0071025	RNA surveillance	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0070986	left/right axis specification	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0086066	atrial cardiac muscle cell to AV node ce...	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0086026	atrial cardiac muscle cell to AV node ce...	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0086011	membrane repolarization during action po...	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0086014	atrial cardiac muscle cell action potent...	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0032799	low-density lipoprotein receptor particl...	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:1903358	regulation of Golgi organization	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0046386	deoxyribose phosphate catabolic process	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0071599	otic vesicle development	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0006107	oxaloacetate metabolic process	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0019934	cGMP-mediated signaling	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0006734	NADH metabolic process	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:1990403	embryonic brain development	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0072017	distal tubule development	11	7	3.82	0.04820	1.31695296176115	1.83246073298429	0.263034677102548
Dhx35	hom_vs_het_wt	BP	GO:0018130	heterocycle biosynthetic process	3432	1333	1192.55	0.04856	1.3137213219328	1.11777283971322	0.0483535526712066
Dhx35	hom_vs_het_wt	BP	GO:0034332	adherens junction organization	79	35	27.45	0.04920	1.30803489723264	1.27504553734062	0.105525695564165
Dhx35	hom_vs_het_wt	BP	GO:0031929	TOR signaling	79	35	27.45	0.04920	1.30803489723264	1.27504553734062	0.105525695564165
Dhx35	hom_vs_het_wt	BP	GO:0009117	nucleotide metabolic process	939	387	326.28	0.04936	1.30662484897481	1.18609783008459	0.0741205113837865
Dhx35	hom_vs_het_wt	BP	GO:0016573	histone acetylation	144	60	50.04	0.04939	1.30636097383845	1.19904076738609	0.0788339493622613
Dhx35	hom_vs_het_wt	BP	GO:0032844	regulation of homeostatic process	378	147	131.35	0.04955	1.30495634117871	1.11914731633041	0.048887257626087
Dhx35	hom_vs_het_wt	BP	GO:0055074	calcium ion homeostasis	283	112	98.34	0.04955	1.30495634117871	1.13890583689241	0.0564878187160389
Edc4	hom_vs_het_wt	BP	GO:0035914	skeletal muscle cell differentiation	63	5	0.26	6.2e-06	5.20760831050175	19.2307692307692	1.2839966563652
Edc4	hom_vs_het_wt	BP	GO:0007263	nitric oxide mediated signal transductio...	17	3	0.07	4.5e-05	4.34678748622466	42.8571428571429	1.63202321470541
Edc4	hom_vs_het_wt	BP	GO:0006355	regulation of transcription, DNA-templat...	2873	23	11.97	0.00074	3.13076828026902	1.92147034252297	0.283633685611182
Edc4	hom_vs_het_wt	BP	GO:0031325	positive regulation of cellular metaboli...	2238	19	9.32	0.00131	2.88272870434424	2.03862660944206	0.309337688598848
Edc4	hom_vs_het_wt	BP	GO:0042127	regulation of cell proliferation	1161	12	4.84	0.00263	2.58004425151024	2.47933884297521	0.394335884403212
Edc4	hom_vs_het_wt	BP	GO:0071241	cellular response to inorganic substance	123	5	0.51	0.00283	2.54821356447571	9.80392156862745	0.991399828238082
Edc4	hom_vs_het_wt	BP	GO:0055117	regulation of cardiac muscle contraction	71	3	0.3	0.00321	2.49349496759513	10	1
Edc4	hom_vs_het_wt	BP	GO:0051251	positive regulation of lymphocyte activa...	150	4	0.62	0.00350	2.45593195564972	6.45161290322581	0.809668301829709
Edc4	hom_vs_het_wt	BP	GO:0021953	central nervous system neuron differenti...	158	4	0.66	0.00421	2.37571790416433	6.06060606060606	0.782516055786094
Edc4	hom_vs_het_wt	BP	GO:0001666	response to hypoxia	260	5	1.08	0.00448	2.34872198600186	4.62962962962963	0.665546248849069
Edc4	hom_vs_het_wt	BP	GO:0014070	response to organic cyclic compound	693	10	2.89	0.00525	2.27984069659404	3.46020761245675	0.539102157243452
Edc4	hom_vs_het_wt	BP	GO:0051173	positive regulation of nitrogen compound...	1441	13	6	0.00556	2.25492520841794	2.16666666666667	0.335792101923193
Edc4	hom_vs_het_wt	BP	GO:0048584	positive regulation of response to stimu...	1274	12	5.31	0.00559	2.25258819211358	2.25988700564972	0.354086724966156
Edc4	hom_vs_het_wt	BP	GO:0007389	pattern specification process	418	8	1.74	0.00567	2.24641694110709	4.59770114942529	0.662540738709344
Edc4	hom_vs_het_wt	BP	GO:0045926	negative regulation of growth	175	4	0.73	0.00604	2.21896306137887	5.47945205479452	0.738737131207506
Edc4	hom_vs_het_wt	BP	GO:0048562	embryonic organ morphogenesis	282	5	1.17	0.00629	2.20134935455473	4.27350427350427	0.630784142589857
Edc4	hom_vs_het_wt	BP	GO:0030324	lung development	182	4	0.76	0.00693	2.15926676538819	5.26315789473684	0.721246399047171
Edc4	hom_vs_het_wt	BP	GO:1901652	response to peptide	305	5	1.27	0.00869	2.06098022355133	3.93700787401575	0.595166283380062
Edc4	hom_vs_het_wt	BP	GO:0071248	cellular response to metal ion	103	3	0.43	0.00904	2.04383156952464	6.97674418604651	0.843652799140076
Edc4	hom_vs_het_wt	BP	GO:0033993	response to lipid	622	9	2.59	0.01012	1.99481948749622	3.47490347490348	0.540942745358073
Edc4	hom_vs_het_wt	BP	GO:0072331	signal transduction by p53 class mediato...	109	3	0.45	0.01055	1.97674754036629	6.66666666666667	0.823908740944319
Edc4	hom_vs_het_wt	BP	GO:0060485	mesenchyme development	208	4	0.87	0.01096	1.96018944585165	4.59770114942529	0.662540738709344
Edc4	hom_vs_het_wt	BP	GO:0045935	positive regulation of nucleobase-contai...	1409	12	5.87	0.01215	1.91542372206567	2.0442930153322	0.31054314480001
Edc4	hom_vs_het_wt	BP	GO:0051254	positive regulation of RNA metabolic pro...	1257	11	5.24	0.01363	1.86550414416533	2.09923664122137	0.322061398174498
Edc4	hom_vs_het_wt	BP	GO:0032496	response to lipopolysaccharide	222	4	0.92	0.01365	1.86486734862323	4.34782608695652	0.638272163982407
Edc4	hom_vs_het_wt	BP	GO:0010604	positive regulation of macromolecule met...	2172	16	9.05	0.01395	1.85542579239038	1.76795580110497	0.247471403450721
Edc4	hom_vs_het_wt	BP	GO:0071214	cellular response to abiotic stimulus	225	4	0.94	0.01428	1.84527179255984	4.25531914893617	0.628932137728264
Edc4	hom_vs_het_wt	BP	GO:0071407	cellular response to organic cyclic comp...	347	5	1.45	0.01457	1.83654044823001	3.44827586206897	0.537602002101044
Edc4	hom_vs_het_wt	BP	GO:1902533	positive regulation of intracellular sig...	626	7	2.61	0.01482	1.82915179635669	2.68199233716475	0.428457532675976
Edc4	hom_vs_het_wt	BP	GO:0008285	negative regulation of cell proliferatio...	484	6	2.02	0.01507	1.82188674768537	2.97029702970297	0.47279988093702
Edc4	hom_vs_het_wt	BP	GO:0006366	transcription from RNA polymerase II pro...	1633	13	6.8	0.01529	1.81559251458768	1.91176470588235	0.2814344396006
Edc4	hom_vs_het_wt	BP	GO:0036293	response to decreased oxygen levels	264	6	1.1	0.01545	1.81107151623915	5.45454545454545	0.736758565225418
Edc4	hom_vs_het_wt	BP	GO:0002237	response to molecule of bacterial origin	233	4	0.97	0.01604	1.79479563605186	4.12371134020619	0.615288257061718
Edc4	hom_vs_het_wt	BP	GO:0045595	regulation of cell differentiation	1344	13	5.6	0.01610	1.79317412396815	2.32142857142857	0.365755325300636
Edc4	hom_vs_het_wt	BP	GO:0051048	negative regulation of secretion	129	3	0.54	0.01657	1.78067749158066	5.55555555555556	0.744727494896694
Edc4	hom_vs_het_wt	BP	GO:0009891	positive regulation of biosynthetic proc...	1470	12	6.12	0.01661	1.77963036754861	1.96078431372549	0.292429823902064
Edc4	hom_vs_het_wt	BP	GO:0072073	kidney epithelium development	134	3	0.56	0.01832	1.73707453066817	5.35714285714286	0.728933227713462
Edc4	hom_vs_het_wt	BP	GO:0051047	positive regulation of secretion	244	4	1.02	0.01867	1.72885568205092	3.92156862745098	0.593459819566045
Edc4	hom_vs_het_wt	BP	GO:0021537	telencephalon development	244	4	1.02	0.01867	1.72885568205092	3.92156862745098	0.593459819566045
Edc4	hom_vs_het_wt	BP	GO:0016265	death	1502	12	6.26	0.01941	1.71197446461164	1.91693290734824	0.282606912837195
Edc4	hom_vs_het_wt	BP	GO:0008219	cell death	1502	12	6.26	0.01941	1.71197446461164	1.91693290734824	0.282606912837195
Edc4	hom_vs_het_wt	BP	GO:0009612	response to mechanical stimulus	166	5	0.69	0.02176	1.66234110897386	7.2463768115942	0.860120913598763
Edc4	hom_vs_het_wt	BP	GO:0016049	cell growth	385	5	1.6	0.02182	1.66114525374768	3.125	0.494850021680094
Edc4	hom_vs_het_wt	BP	GO:0009636	response to toxic substance	145	3	0.6	0.02251	1.64762450499948	5	0.698970004336019
Edc4	hom_vs_het_wt	BP	GO:0010628	positive regulation of gene expression	1354	11	5.64	0.02260	1.6458915608526	1.95035460992908	0.290113581174883
Edc4	hom_vs_het_wt	BP	GO:0010557	positive regulation of macromolecule bio...	1367	11	5.69	0.02407	1.61852390972497	1.93321616871705	0.286280418763154
Edc4	hom_vs_het_wt	BP	GO:0010941	regulation of cell death	1190	10	4.96	0.02408	1.61834351741421	2.01612903225806	0.304518323509802
Edc4	hom_vs_het_wt	BP	GO:1902531	regulation of intracellular signal trans...	1193	10	4.97	0.02446	1.61154354729973	2.01207243460765	0.303643611266668
Edc4	hom_vs_het_wt	BP	GO:0045893	positive regulation of transcription, DN...	1195	10	4.98	0.02471	1.60712725459792	2.00803212851406	0.302770657240282
Edc4	hom_vs_het_wt	BP	GO:0043434	response to peptide hormone	269	4	1.12	0.02562	1.59142087459133	3.57142857142857	0.552841968657781
Edc4	hom_vs_het_wt	BP	GO:0051650	establishment of vesicle localization	153	3	0.64	0.02587	1.58720357128346	4.6875	0.670941280735775
Edc4	hom_vs_het_wt	BP	GO:1901701	cellular response to oxygen-containing c...	705	7	2.94	0.02652	1.57642648026726	2.38095238095238	0.376750709602099
Edc4	hom_vs_het_wt	BP	GO:1902680	positive regulation of RNA biosynthetic ...	1209	10	5.04	0.02654	1.57609908147158	1.98412698412698	0.297569463554475
Edc4	hom_vs_het_wt	BP	GO:0007160	cell-matrix adhesion	156	3	0.65	0.02720	1.5654310959658	4.61538461538461	0.664207898076807
Edc4	hom_vs_het_wt	BP	GO:2000026	regulation of multicellular organismal d...	1412	11	5.88	0.02973	1.52680509079506	1.87074829931973	0.272015359082087
Edc4	hom_vs_het_wt	BP	GO:0051090	regulation of sequence-specific DNA bind...	282	4	1.17	0.02978	1.52607530658384	3.41880341880342	0.533874129581801
Edc4	hom_vs_het_wt	BP	GO:0051648	vesicle localization	168	3	0.7	0.03285	1.4834646261042	4.28571428571429	0.632023214705406
Edc4	hom_vs_het_wt	BP	GO:0048646	anatomical structure formation involved ...	906	8	3.77	0.03331	1.47742536730882	2.12201591511936	0.326748636786151
Edc4	hom_vs_het_wt	BP	GO:0043627	response to estrogen	170	3	0.71	0.03385	1.47044132697884	4.22535211267606	0.625862906000587
Edc4	hom_vs_het_wt	BP	GO:0097305	response to alcohol	294	4	1.22	0.03396	1.46903231842808	3.27868852459016	0.515700160653214
Edc4	hom_vs_het_wt	BP	GO:0001558	regulation of cell growth	296	4	1.23	0.03468	1.45992091119583	3.2520325203252	0.512154879888564
Edc4	hom_vs_het_wt	BP	GO:0055001	muscle cell development	172	3	0.72	0.03486	1.45767261722603	4.16666666666667	0.619788758288394
Edc4	hom_vs_het_wt	BP	GO:0042981	regulation of apoptotic process	1089	9	4.54	0.03521	1.45333397492982	1.98237885462555	0.297186656582221
Edc4	hom_vs_het_wt	BP	GO:0031328	positive regulation of cellular biosynth...	1450	11	6.04	0.03522	1.45321064836874	1.82119205298013	0.260355746537093
Edc4	hom_vs_het_wt	BP	GO:0003002	regionalization	321	6	1.34	0.03566	1.44781866116066	4.47761194029851	0.651046452018836
Edc4	hom_vs_het_wt	BP	GO:1901700	response to oxygen-containing compound	1112	12	4.63	0.03614	1.44201185177509	2.59179265658747	0.413600255029672
Edc4	hom_vs_het_wt	BP	GO:0030097	hemopoiesis	598	6	2.49	0.03754	1.42550573171467	2.40963855421687	0.381951903287907
Edc4	hom_vs_het_wt	BP	GO:0043067	regulation of programmed cell death	1103	9	4.59	0.03776	1.42296801437397	1.96078431372549	0.292429823902064
Edc4	hom_vs_het_wt	BP	GO:0023061	signal release	305	4	1.27	0.03807	1.41941712318563	3.1496062992126	0.498256270372005
Edc4	hom_vs_het_wt	BP	GO:0009952	anterior/posterior pattern specification	197	5	0.82	0.03844	1.41521662100349	6.09756097560976	0.785156151952302
Edc4	hom_vs_het_wt	BP	GO:0048523	negative regulation of cellular process	3203	21	13.34	0.03926	1.40604970473601	1.57421289355322	0.197063465153389
Edc4	hom_vs_het_wt	BP	GO:0045944	positive regulation of transcription fro...	937	8	3.9	0.03948	1.4036228560024	2.05128205128205	0.312025379965444
Edc4	hom_vs_het_wt	BP	GO:0009725	response to hormone	649	8	2.7	0.03997	1.3982658517399	2.96296296296296	0.471726222832956
Edc4	hom_vs_het_wt	BP	GO:0009743	response to carbohydrate	183	3	0.76	0.04072	1.3901922306713	3.94736842105263	0.596307662438871
Edc4	hom_vs_het_wt	BP	GO:0042692	muscle cell differentiation	333	6	1.39	0.04088	1.38848911287334	4.31654676258993	0.635136450129548
Edc4	hom_vs_het_wt	BP	GO:0009617	response to bacterium	313	4	1.3	0.04123	1.38478666519864	3.07692307692308	0.488116639021126
Edc4	hom_vs_het_wt	BP	GO:0002790	peptide secretion	186	3	0.77	0.04240	1.37263414340727	3.8961038961039	0.590630529547181
Edc4	hom_vs_het_wt	BP	GO:0048705	skeletal system morphogenesis	213	5	0.89	0.04332	1.36331155204672	5.61797752808989	0.749579997691106
Edc4	hom_vs_het_wt	BP	GO:0050767	regulation of neurogenesis	621	6	2.59	0.04382	1.35832762677531	2.31660231660232	0.364851486302392
Edc4	hom_vs_het_wt	BP	GO:0071396	cellular response to lipid	320	4	1.33	0.04412	1.35536449623185	3.00751879699248	0.478208350360877
Edc4	hom_vs_het_wt	BP	GO:0043410	positive regulation of MAPK cascade	323	4	1.35	0.04540	1.3429441471429	2.96296296296296	0.471726222832956
Edc4	hom_vs_het_wt	BP	GO:0060284	regulation of cell development	799	7	3.33	0.04729	1.32523068598457	2.1021021021021	0.322653806507937
Edc4	hom_vs_het_wt	BP	GO:0015833	peptide transport	196	3	0.82	0.04824	1.31659270086791	3.65853658536585	0.563307402335946
Edc4	hom_vs_het_wt	BP	GO:0009967	positive regulation of signal transducti...	978	8	4.07	0.04879	1.31166918188773	1.96560196560197	0.293495577766723
Edc4	hom_vs_het_wt	BP	GO:0048534	hematopoietic or lymphoid organ developm...	638	6	2.66	0.04886	1.31104653736258	2.25563909774436	0.353269613752577
Edc4	hom_vs_het_wt	BP	GO:0071495	cellular response to endogenous stimulus	805	7	3.35	0.04890	1.31069114087638	2.08955223880597	0.320053232977412
Ehmt1	hom_vs_het_wt	BP	GO:0060048	cardiac muscle contraction	103	24	6.66	2.9e-08	7.53760200210104	3.6036036036036	0.556737012541305
Ehmt1	hom_vs_het_wt	BP	GO:0045214	sarcomere organization	41	14	2.65	1.4e-07	6.85387196432176	5.28301886792453	0.72288216174143
Ehmt1	hom_vs_het_wt	BP	GO:0071456	cellular response to hypoxia	117	20	7.57	5.7e-05	4.24412514432751	2.64200792602378	0.421934116163908
Ehmt1	hom_vs_het_wt	BP	GO:0018149	peptide cross-linking	23	8	1.49	6.1e-05	4.21467016498923	5.36912751677852	0.72990371857967
Ehmt1	hom_vs_het_wt	BP	GO:0002026	regulation of the force of heart contrac...	26	8	1.68	0.00016	3.79588001734407	4.76190476190476	0.677780705266081
Ehmt1	hom_vs_het_wt	BP	GO:0051592	response to calcium ion	107	18	6.92	0.00016	3.79588001734407	2.60115606936416	0.415166410646548
Ehmt1	hom_vs_het_wt	BP	GO:0055008	cardiac muscle tissue morphogenesis	63	15	4.08	0.00021	3.67778070526608	3.67647058823529	0.565431095965801
Ehmt1	hom_vs_het_wt	BP	GO:0048739	cardiac muscle fiber development	10	5	0.65	0.00022	3.65757731917779	7.69230769230769	0.886056647693163
Ehmt1	hom_vs_het_wt	BP	GO:0019471	4-hydroxyproline metabolic process	10	5	0.65	0.00022	3.65757731917779	7.69230769230769	0.886056647693163
Ehmt1	hom_vs_het_wt	BP	GO:0006942	regulation of striated muscle contractio...	84	15	5.44	0.00029	3.53760200210104	2.75735294117647	0.440492359357501
Ehmt1	hom_vs_het_wt	BP	GO:0007286	spermatid development	122	19	7.89	0.00031	3.50863830616573	2.40811153358682	0.381676597743409
Ehmt1	hom_vs_het_wt	BP	GO:0008217	regulation of blood pressure	132	20	8.54	0.00031	3.50863830616573	2.34192037470726	0.369572124974976
Ehmt1	hom_vs_het_wt	BP	GO:0072109	glomerular mesangium development	11	5	0.71	0.00037	3.431798275933	7.04225352112676	0.847711655616944
Ehmt1	hom_vs_het_wt	BP	GO:0019934	cGMP-mediated signaling	11	5	0.71	0.00037	3.431798275933	7.04225352112676	0.847711655616944
Ehmt1	hom_vs_het_wt	BP	GO:0043462	regulation of ATPase activity	52	11	3.36	0.00041	3.38721614328026	3.27380952380952	0.515053407768381
Ehmt1	hom_vs_het_wt	BP	GO:0001666	response to hypoxia	274	42	17.73	0.00042	3.3767507096021	2.36886632825719	0.374540554796983
Ehmt1	hom_vs_het_wt	BP	GO:0001570	vasculogenesis	78	14	5.05	0.00043	3.36653154442041	2.77227722772277	0.442836657559577
Ehmt1	hom_vs_het_wt	BP	GO:0002313	mature B cell differentiation involved i...	17	6	1.1	0.00048	3.31875876262441	5.45454545454545	0.736758565225418
Ehmt1	hom_vs_het_wt	BP	GO:0019511	peptidyl-proline hydroxylation	12	5	0.78	0.00061	3.21467016498923	6.41025641025641	0.806875401645538
Ehmt1	hom_vs_het_wt	BP	GO:0055114	oxidation-reduction process	851	83	55.06	0.00070	3.15490195998574	1.507446422085	0.178241885318762
Ehmt1	hom_vs_het_wt	BP	GO:0009404	toxin metabolic process	13	5	0.84	0.00093	3.03151705144606	5.95238095238095	0.774690718274137
Ehmt1	hom_vs_het_wt	BP	GO:0007263	nitric oxide mediated signal transductio...	19	6	1.23	0.00094	3.0268721464003	4.8780487804878	0.688246138944246
Ehmt1	hom_vs_het_wt	BP	GO:0061061	muscle structure development	546	77	35.33	0.00098	3.0087739243075	2.17945089159355	0.338347087737636
Ehmt1	hom_vs_het_wt	BP	GO:0003229	ventricular cardiac muscle tissue develo...	52	12	3.36	0.00101	2.99567862621736	3.57142857142857	0.552841968657781
Ehmt1	hom_vs_het_wt	BP	GO:0001952	regulation of cell-matrix adhesion	85	14	5.5	0.00105	2.97881070093006	2.54545454545455	0.405765346183994
Ehmt1	hom_vs_het_wt	BP	GO:0002027	regulation of heart rate	76	13	4.92	0.00109	2.96257350205938	2.64227642276423	0.421978249539476
Ehmt1	hom_vs_het_wt	BP	GO:0070252	actin-mediated cell contraction	67	12	4.34	0.00111	2.95467702121334	2.76497695852535	0.441691516535114
Ehmt1	hom_vs_het_wt	BP	GO:0002467	germinal center formation	14	5	0.91	0.00137	2.86327943284359	5.49450549450549	0.739928612014925
Ehmt1	hom_vs_het_wt	BP	GO:0055013	cardiac muscle cell development	58	17	3.75	0.00140	2.85387196432176	4.53333333333333	0.656417653650555
Ehmt1	hom_vs_het_wt	BP	GO:0014898	cardiac muscle hypertrophy in response t...	21	6	1.36	0.00169	2.77211329538633	4.41176470588235	0.644612342013426
Ehmt1	hom_vs_het_wt	BP	GO:0030199	collagen fibril organization	36	8	2.33	0.00178	2.74957999769111	3.43347639484979	0.535734065965925
Ehmt1	hom_vs_het_wt	BP	GO:0072358	cardiovascular system development	892	115	57.72	0.00189	2.72353819582676	1.99237699237699	0.299371517932155
Ehmt1	hom_vs_het_wt	BP	GO:0003181	atrioventricular valve morphogenesis	15	5	0.97	0.00195	2.70996538863748	5.15463917525773	0.712198270069774
Ehmt1	hom_vs_het_wt	BP	GO:0055003	cardiac myofibril assembly	15	5	0.97	0.00195	2.70996538863748	5.15463917525773	0.712198270069774
Ehmt1	hom_vs_het_wt	BP	GO:0006544	glycine metabolic process	15	5	0.97	0.00195	2.70996538863748	5.15463917525773	0.712198270069774
Ehmt1	hom_vs_het_wt	BP	GO:0010035	response to inorganic substance	435	53	28.15	0.00206	2.68613277963085	1.88277087033748	0.274797470413424
Ehmt1	hom_vs_het_wt	BP	GO:0003206	cardiac chamber morphogenesis	122	21	7.89	0.00255	2.59345981956604	2.66159695817491	0.425142291524499
Ehmt1	hom_vs_het_wt	BP	GO:0003197	endocardial cushion development	38	8	2.46	0.00256	2.59176003468815	3.2520325203252	0.512154879888564
Ehmt1	hom_vs_het_wt	BP	GO:0097050	type B pancreatic cell apoptotic process	10	4	0.65	0.00267	2.57348873863542	6.15384615384615	0.789146634685107
Ehmt1	hom_vs_het_wt	BP	GO:0014807	regulation of somitogenesis	10	4	0.65	0.00267	2.57348873863542	6.15384615384615	0.789146634685107
Ehmt1	hom_vs_het_wt	BP	GO:0010880	regulation of release of sequestered cal...	16	5	1.04	0.00269	2.57024771999759	4.80769230769231	0.681936665037238
Ehmt1	hom_vs_het_wt	BP	GO:0042730	fibrinolysis	16	5	1.04	0.00269	2.57024771999759	4.80769230769231	0.681936665037238
Ehmt1	hom_vs_het_wt	BP	GO:0051965	positive regulation of synapse assembly	65	11	4.21	0.00281	2.55129368009492	2.61282660332542	0.417110589322557
Ehmt1	hom_vs_het_wt	BP	GO:0051926	negative regulation of calcium ion trans...	23	6	1.49	0.00281	2.55129368009492	4.02684563758389	0.60496498197137
Ehmt1	hom_vs_het_wt	BP	GO:0042246	tissue regeneration	56	10	3.62	0.00287	2.54211810326601	2.76243093922652	0.441291429466834
Ehmt1	hom_vs_het_wt	BP	GO:0003014	renal system process	75	12	4.85	0.00300	2.52287874528034	2.47422680412371	0.393439507445361
Ehmt1	hom_vs_het_wt	BP	GO:0050878	regulation of body fluid levels	288	36	18.63	0.00305	2.51570016065321	1.93236714975845	0.286089645871045
Ehmt1	hom_vs_het_wt	BP	GO:0045944	positive regulation of transcription fro...	993	86	64.25	0.00318	2.49757288001557	1.33852140077821	0.126625319240236
Ehmt1	hom_vs_het_wt	BP	GO:0055010	ventricular cardiac muscle tissue morpho...	48	9	3.11	0.00326	2.48678239993206	2.89389067524116	0.461482120412487
Ehmt1	hom_vs_het_wt	BP	GO:0045165	cell fate commitment	239	27	15.46	0.00338	2.47108329972234	1.74644243208279	0.242154274576681
Ehmt1	hom_vs_het_wt	BP	GO:0098661	inorganic anion transmembrane transport	96	14	6.21	0.00341	2.4672456210075	2.25442834138486	0.353036435501658
Ehmt1	hom_vs_het_wt	BP	GO:0060712	spongiotrophoblast layer development	17	5	1.1	0.00361	2.44249279809434	4.54545454545454	0.657577319177794
Ehmt1	hom_vs_het_wt	BP	GO:0072215	regulation of metanephros development	17	5	1.1	0.00361	2.44249279809434	4.54545454545454	0.657577319177794
Ehmt1	hom_vs_het_wt	BP	GO:0001946	lymphangiogenesis	17	5	1.1	0.00361	2.44249279809434	4.54545454545454	0.657577319177794
Ehmt1	hom_vs_het_wt	BP	GO:0030194	positive regulation of blood coagulation	17	5	1.1	0.00361	2.44249279809434	4.54545454545454	0.657577319177794
Ehmt1	hom_vs_het_wt	BP	GO:0010811	positive regulation of cell-substrate ad...	97	14	6.28	0.00376	2.42481215507234	2.22929936305732	0.348168391941042
Ehmt1	hom_vs_het_wt	BP	GO:1901077	regulation of relaxation of muscle	11	4	0.71	0.00398	2.40011692792631	5.63380281690141	0.750801642608887
Ehmt1	hom_vs_het_wt	BP	GO:0071495	cellular response to endogenous stimulus	869	76	56.23	0.00426	2.37059040089728	1.35159167704073	0.130845508771389
Ehmt1	hom_vs_het_wt	BP	GO:2001259	positive regulation of cation channel ac...	33	7	2.14	0.00450	2.34678748622466	3.27102803738318	0.514684266665066
Ehmt1	hom_vs_het_wt	BP	GO:0051412	response to corticosterone	18	5	1.16	0.00473	2.32513885926219	4.31034482758621	0.6345120151091
Ehmt1	hom_vs_het_wt	BP	GO:0002040	sprouting angiogenesis	60	10	3.88	0.00481	2.31785492362617	2.57731958762887	0.411168274405793
Ehmt1	hom_vs_het_wt	BP	GO:0060711	labyrinthine layer development	51	9	3.3	0.00498	2.30277065724028	2.72727272727273	0.435728569561437
